Incident_Title,Incident_Link,Incident_color,Incident_Impact,Updates,Service
API slowdown/outage,https://stabilityai.instatus.com/clg1fy6zl75742sgoica6rry42,#8f485d,4,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2023-03-31T21:50:00.000Z'}, {'Update_Title': 'Identified', 'Update_Body': 'We are investigating an outage with our API.', 'Update_Timestamp': '2023-03-31T20:50:00.000Z'}]",This incident affected: REST API and gRPC API
Errors with generations on some models,https://stabilityai.instatus.com/cldmipm2m84887b6n24usu443y,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'We have completed updates and all models are running normally.', 'Update_Timestamp': '2023-02-02T03:49:44.032Z'}, {'Update_Title': 'Identified', 'Update_Body': 'We are currently updating some infrastructure which may cause API errors.', 'Update_Timestamp': '2023-02-02T03:08:19.903Z'}]",This incident affected: REST API and gRPC API
Increased error rate,https://stabilityai.instatus.com/cldcj565e207979eio9r2ugbjvy,#00b093,0,"[{'Update_Title': 'Resolved', 'Update_Body': 'We just resolved the issue!', 'Update_Timestamp': '2023-01-26T04:48:49.043Z'}, {'Update_Title': 'Identified', 'Update_Body': 'A networking issue at our cloud provider is causing increased error rates.', 'Update_Timestamp': '2023-01-26T03:22:44.445Z'}]",This incident affected: REST API and gRPC API
API errors,https://stabilityai.instatus.com/cldb6pycn28612298n07ji9loxa,#00b093,0,"[{'Update_Title': 'Resolved', 'Update_Body': 'All services are restored to normal operation.', 'Update_Timestamp': '2023-01-25T05:37:02.141Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'Our cloud provider is investigating issues which may be surfacing upstream to DreamStudio and our APIs as errors.', 'Update_Timestamp': '2023-01-25T04:47:12.928Z'}]",This incident affected: REST API
Platform Outage,https://stabilityai.instatus.com/cld9uvn72135924mfn6tovjju0a,#8f485d,4,"[{'Update_Title': 'Resolved', 'Update_Body': 'All services are again operating normally.', 'Update_Timestamp': '2023-01-24T06:57:24.186Z'}, {'Update_Title': 'Monitoring', 'Update_Body': 'Our cloud provider has restored service, we are monitoring the platform for any irregularities.', 'Update_Timestamp': '2023-01-24T06:38:10.044Z'}, {'Update_Title': 'Identified', 'Update_Body': 'Network maintenance at our cloud provider is resulting in API errors. DreamStudio and the REST and gRPC APIs may produce errors. We are working with our partners on resolving the issues.', 'Update_Timestamp': '2023-01-24T06:00:00.000Z'}]",This incident affected: REST API and gRPC API
