Incident_Title,Incident_Link,Incident_color,Incident_Impact,Updates,Service
REST API Errors,https://stabilityai.instatus.com/cm3626u4x00ieccezoh21w1ue,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2024-11-06T18:00:00.000Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2024-11-06T15:53:52.421Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/cm35j7ao1000lx1ex5nzhbg13,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'All systems are now stable.', 'Update_Timestamp': '2024-11-06T11:00:00.000Z'}, {'Update_Title': 'Monitoring', 'Update_Body': 'A fix has been applied to the underlying issue and service is restored. We are continuing to monitor the situation.', 'Update_Timestamp': '2024-11-06T10:04:51.573Z'}, {'Update_Title': 'Identified', 'Update_Body': 'Stable Video inference is currently offline due to a GPU cluster issue. We are working to resolve this as quickly as possible.', 'Update_Timestamp': '2024-11-06T09:07:45.039Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2024-11-06T07:02:21.134Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/cm1zae25z00tdewt3u24uxqd1,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2024-10-07T17:45:00.000Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2024-10-07T17:29:20.776Z'}]",This incident affected: REST API
